,col_name,feature_importance_vals
2,tBodyAcc-mean()-Z,0.17849594354629517
111,"tBodyAccJerk-arCoeff()-Y,3",0.16607603430747986
21,tBodyAcc-iqr()-Z,0.14266422390937805
60,tGravityAcc-iqr()-Y,0.13189056515693665
31,"tBodyAcc-arCoeff()-Y,3",0.10968594998121262
306,"fBodyAcc-bandsEnergy()-33,40",0.1084408313035965
375,fBodyAccJerk-skewness()-X,0.10776931047439575
453,fBodyGyro-meanFreq()-Z,0.10030536353588104
25,"tBodyAcc-arCoeff()-X,1",0.0753328800201416
195,"tBodyGyroJerk-arCoeff()-Z,3",0.04248470813035965
476,"fBodyGyro-bandsEnergy()-17,24.1",0.0
110,"tBodyAccJerk-arCoeff()-Y,2",0.0
161,tBodyGyroJerk-mean()-Y,0.0
156,"tBodyGyro-arCoeff()-Z,4",0.0
153,"tBodyGyro-arCoeff()-Z,1",0.0
151,"tBodyGyro-arCoeff()-Y,3",0.0
115,"tBodyAccJerk-arCoeff()-Z,3",0.0
150,"tBodyGyro-arCoeff()-Y,2",0.0
477,"fBodyGyro-bandsEnergy()-25,32.1",0.0
125,tBodyGyro-std()-Z,0.0
148,"tBodyGyro-arCoeff()-X,4",0.0
479,"fBodyGyro-bandsEnergy()-41,48.1",0.0
146,"tBodyGyro-arCoeff()-X,2",0.0
481,"fBodyGyro-bandsEnergy()-57,64.1",0.0
134,tBodyGyro-min()-Z,0.0
130,tBodyGyro-max()-Y,0.0
162,tBodyGyroJerk-mean()-Z,0.0
486,"fBodyGyro-bandsEnergy()-1,24.1",0.0
484,"fBodyGyro-bandsEnergy()-33,48.1",0.0
308,"fBodyAcc-bandsEnergy()-49,56",0.0
469,"fBodyGyro-bandsEnergy()-17,32",0.0
180,tBodyGyroJerk-iqr()-Y,0.0
440,fBodyGyro-energy()-Y,0.0
441,fBodyGyro-energy()-Z,0.0
442,fBodyGyro-iqr()-X,0.0
205,tBodyAccMag-sma(),0.0
444,fBodyGyro-iqr()-Z,0.0
203,tBodyAccMag-max(),0.0
200,tBodyAccMag-mean(),0.0
447,fBodyGyro-entropy()-Z,0.0
190,"tBodyGyroJerk-arCoeff()-Y,2",0.0
189,"tBodyGyroJerk-arCoeff()-Y,1",0.0
183,tBodyGyroJerk-entropy()-Y,0.0
178,tBodyGyroJerk-energy()-Z,0.0
164,tBodyGyroJerk-std()-Y,0.0
177,tBodyGyroJerk-energy()-Y,0.0
176,tBodyGyroJerk-energy()-X,0.0
175,tBodyGyroJerk-sma(),0.0
174,tBodyGyroJerk-min()-Z,0.0
173,tBodyGyroJerk-min()-Y,0.0
172,tBodyGyroJerk-min()-X,0.0
462,"fBodyGyro-bandsEnergy()-17,24",0.0
168,tBodyGyroJerk-mad()-Z,0.0
107,"tBodyAccJerk-arCoeff()-X,3",0.0
466,"fBodyGyro-bandsEnergy()-49,56",0.0
467,"fBodyGyro-bandsEnergy()-57,64",0.0
109,"tBodyAccJerk-arCoeff()-Y,1",0.0
99,tBodyAccJerk-iqr()-X,0.0
100,tBodyAccJerk-iqr()-Y,0.0
27,"tBodyAcc-arCoeff()-X,3",0.0
43,tGravityAcc-std()-X,0.0
34,"tBodyAcc-arCoeff()-Z,2",0.0
528,fBodyBodyGyroMag-mean(),0.0
33,"tBodyAcc-arCoeff()-Z,1",0.0
530,fBodyBodyGyroMag-mad(),0.0
532,fBodyBodyGyroMag-min(),0.0
533,fBodyBodyGyroMag-sma(),0.0
534,fBodyBodyGyroMag-energy(),0.0
535,fBodyBodyGyroMag-iqr(),0.0
536,fBodyBodyGyroMag-entropy(),0.0
30,"tBodyAcc-arCoeff()-Y,2",0.0
29,"tBodyAcc-arCoeff()-Y,1",0.0
26,"tBodyAcc-arCoeff()-X,2",0.0
495,"fBodyGyro-bandsEnergy()-57,64.2",0.0
543,fBodyBodyGyroJerkMag-mad(),0.0
20,tBodyAcc-iqr()-Y,0.0
546,fBodyBodyGyroJerkMag-sma(),0.0
547,fBodyBodyGyroJerkMag-energy(),0.0
548,fBodyBodyGyroJerkMag-iqr(),0.0
549,fBodyBodyGyroJerkMag-entropy(),0.0
550,fBodyBodyGyroJerkMag-maxInds,0.0
17,tBodyAcc-energy()-Y,0.0
553,fBodyBodyGyroJerkMag-kurtosis(),0.0
15,tBodyAcc-sma(),0.0
11,tBodyAcc-max()-Z,0.0
5,tBodyAcc-std()-Z,0.0
46,tGravityAcc-mad()-X,0.0
524,fBodyBodyAccJerkMag-maxInds,0.0
523,fBodyBodyAccJerkMag-entropy(),0.0
522,fBodyBodyAccJerkMag-iqr(),0.0
496,"fBodyGyro-bandsEnergy()-1,16.2",0.0
438,fBodyGyro-sma(),0.0
498,"fBodyGyro-bandsEnergy()-33,48.2",0.0
98,tBodyAccJerk-energy()-Z,0.0
500,"fBodyGyro-bandsEnergy()-1,24.2",0.0
97,tBodyAccJerk-energy()-Y,0.0
96,tBodyAccJerk-energy()-X,0.0
86,tBodyAccJerk-mad()-X,0.0
84,tBodyAccJerk-std()-Y,0.0
83,tBodyAccJerk-std()-X,0.0
506,fBodyAccMag-min(),0.0
